run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,0-10 Hz,0.0,10.0,9.497978908254536e-06,0.0044833266989562194
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,10-100 Hz,10.0,100.0,0.0004757529477544941,0.2245694492879038
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.0016332605149562158,0.7709472240131398
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,6.2579533431996835e-24,2.953938893252972e-21
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.2194979723309393e-32,5.756390776907959e-30
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,0-10 Hz,0.0,10.0,4.379184719839675e-07,4.572921832391622e-05
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,10-100 Hz,10.0,100.0,2.8981479892869593e-05,0.0030263633670601178
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,100-1000 Hz,100.0,1000.0,0.00016019036865220723,0.01672772630096681
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.0004153858034728997,0.0433762659282457
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.008971342912709446,0.9368239180580361
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,0-10 Hz,0.0,10.0,1.3639688442028138e-05,0.00039498296194154817
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.007369429972985092,0.21340658116364253
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.027149276683290938,0.7861984358744155
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,9.061454821763045e-24,2.6240484012604744e-22
